siteId,ts,nox,no2,no,pm10,nvpm10,vpm10,nvpm2.5,pm2.5,vpm2.5,co,o3,so2,loc,lat,long
500,1500012000,75.14903,34.71872,26.36796,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500073200,17.55422,14.77496,1.81258,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500174000,5.63179,3.84776,1.16351,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500195600,17.3204,9.65957,4.99627,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500235200,25.71496,20.25792,3.55898,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500267600,256.58463,80.59303,114.77873,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500325200,155.28023,73.29429,53.46984,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500328800,85.03188,73.22213,7.70212,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500357600,296.31054,94.53714,131.59319,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500411600,83.51199,56.31485,17.73752,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500429600,27.80921,21.50675,4.11036,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500490800,73.35877,50.40732,14.96854,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500606000,5.12357,4.28272,0.54839,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500627600,36.07847,22.72997,8.70566,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500660000,107.22137,63.49716,28.51619,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500674400,76.5867,43.42566,21.62706,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500681600,38.53262,24.93465,8.86837,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500688800,38.94217,27.21917,7.64554,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500728400,44.4977,20.57859,15.59964,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500735600,40.59814,21.09487,12.71971,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500750000,20.19223,17.77404,1.57711,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500760800,59.93568,40.90553,12.41114,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500800400,109.71367,43.24519,43.34961,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500811200,30.63642,19.85633,7.03059,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1500861600,10.54241,9.80598,0.48029,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
